CODIGO_PRODUTO;ESPECIE_PRODUTO;GENERO_PRODUTO
1500006527;BLUSA;FEMININO
1500114914;SAIA;FEMININO
1500164694;BLUSA;FEMININO
1500009537;JAQUETA;MASCULINO
1500009246;CAMISA POLO;MASCULINO
1500174384;VESTIDO;FEMININO
1500113766;BERMUDA;FEMININO
1590000759;CAMISA;MASCULINO
1515091599;CONJUNTO;MASCULINO
1710000522;BLUSA;FEMININO
1530000117;BLUSA;FEMININO
1500062675;CONJUNTO;FEMININO
1500027668;BERMUDA;FEMININO
1500006527;BLUSA;FEMININO
1500007761;BLUSA;FEMININO
1545000234;CAMISETA;MASCULINO
1500087966;BLUSA;FEMININO
1500006066;BLUSA;FEMININO
1500024428;CAMISA;MASCULINO
1500007751;REGATA;FEMININO
1530000512;JAQUETA;FEMININO
1590000755;BERMUDA;MASCULINO
1500175479;CASACO;FEMININO
1725000204;CAMISETA;MASCULINO
1500175938;CALCA;FEMININO
1500030147;CONJUNTO;MASCULINO
1500069270;SHORTS;FEMININO
1500054078;BERMUDA;MASCULINO
1500141855;CAMISETA;FEMININO
1500030860;BLUSA;FEMININO
1545000230;CAMISETA;MASCULINO
1500103422;CAMISETA;MASCULINO
1500004472;CAMISA;FEMININO
1530000522;CALCA;FEMININO
1500017973;BERMUDA;MASCULINO
1500167073;BERMUDA;MASCULINO
1500156339;CAMISA;FEMININO
1500002417;CAMISA;MASCULINO
1500101510;CONJUNTO;MASCULINO
1590000402;SAIA;FEMININO
1710000078;SHORTS;FEMININO
1500182166;COLETE;NAO SE APLICA
1500066024;SHORTS;FEMININO
1500075473;PIJAMA;FEMININO
1500027569;BLUSA;FEMININO
1500002661;CAMISA POLO;MASCULINO
1500162342;SHORTS;FEMININO
1648500015;CALCA;MASCULINO
1500008234;SUETER;MASCULINO
1530000629;MACACAO;FEMININO
1500029630;VESTIDO;FEMININO
1515058142;CONJUNTO;FEMININO
1500032564;SHORTS;FEMININO
1500114936;CONJUNTO;FEMININO
1500000194;SHORTS;FEMININO
1500182178;CALCA;NAO SE APLICA
1500093960;VESTIDO;FEMININO
1500175256;BLUSA;FEMININO
1560000191;BLUSA;FEMININO
1500039696;VESTIDO;FEMININO
1500059717;JAQUETA;MASCULINO
1515047130;CONJUNTO;FEMININO
1500024212;SAIA;FEMININO
1500176603;JAQUETA;FEMININO
1710000524;BLUSA;FEMININO
1500099308;BLUSA;FEMININO
1515061706;CONJUNTO;FEMININO
1755000834;BLUSA;FEMININO
1500176531;BERMUDA;FEMININO
1710000147;CALCA;FEMININO
1560000356;VESTIDO;FEMININO
1500041553;CASACO;FEMININO
1500037248;JAQUETA;MASCULINO
1500006738;REGATA;FEMININO
1500009288;CAMISA POLO;MASCULINO
1500000786;VESTIDO;FEMININO
1500058998;CAMISA;FEMININO
1500138518;CAMISA;FEMININO
1500014852;SHORTS;FEMININO
1500159687;PIJAMA;MASCULINO
1500006188;VESTIDO;FEMININO
1500038108;VESTIDO;FEMININO
1500077697;JAQUETA;FEMININO
1500142499;CAMISETA;FEMININO
1725000069;BERMUDA;MASCULINO
1500006464;CAMISA POLO;MASCULINO
1725000023;BLUSA;FEMININO
1500175955;SAIA;FEMININO
1500028427;SAIA;FEMININO
1500014346;BLUSA;FEMININO
1500173864;BLUSA;FEMININO
1500130391;CALCA;FEMININO
1500160760;BLUSA;FEMININO
1500062496;PIJAMA;FEMININO
1500168774;BERMUDA;MASCULINO
1710000084;SHORTS;FEMININO
1500002607;BLUSA;FEMININO
1500006813;CAMISA POLO;MASCULINO
1500012218;CONJUNTO;FEMININO
1500155478;CONJUNTO;MASCULINO
1500128730;CAMISETA;MASCULINO
1500151845;CAMISA POLO;MASCULINO
1500144561;SAIA;FEMININO
1500009066;BLUSA;FEMININO
1500003720;CAMISETA;FEMININO
1500119672;CONJUNTO;MASCULINO
1500002118;BLUSA;FEMININO
1500024195;SAIA;FEMININO
1500175256;BLUSA;FEMININO
1500046598;JAQUETA;UNISSEX
1500009179;CAMISA;FEMININO
1500087194;SHORTS;FEMININO
1500176462;BLUSA;FEMININO
1500002636;JARDINEIRA;FEMININO
1500012732;CALCA;FEMININO
1500055137;BLUSA;FEMININO
1605000446;REGATA;MASCULINO
1500017936;CAMISETA;MASCULINO
1500018083;MACACAO;FEMININO
1500001931;CONJUNTO;MASCULINO
1500038108;VESTIDO;FEMININO
1500017886;CAMISETA;MASCULINO
